title,description
welcome,Welcome to Project EDDIE Module 5 'Introduction to Ecological Forecasting' R Shiny App!
tab_nav1,Navigate through the module by selecting a tab.
tab_nav2,Or you can use these buttons at the bottom of the page to also navigate through the tabs.
objectives,There are objectives on each of the tabs. You will need to complete them sequentially.
questions,Questions are embedded throughout the app. Answer as you go by typing answers into the final report Word document.
help,If you require any further help you can use the help button in the top right corner.
start,Start from here and make sure to read through all the text carefully and answer the questions as you go.
