Day,PAR,TEMP,NLOAD
0,135.31,20.443125,0.044975864
1,101.7886139,20.58,0.05088804
2,97.2346875,20.54291667,0.063239777
3,74.48979167,20.63895833,0.063620916
4,149.5715625,19.465,0.062557644
5,145.1340625,18.43583333,0.062552798
6,127.103125,18.12604167,0.0392339
7,121.00125,18.18541667,0.037118648
8,129.7420833,18.04354167,0.044687423
9,128.7679167,17.473125,0.054222666
10,104.6582292,16.96416667,0.063733133
11,89.62833333,16.793125,0.058881686
12,96.7365625,17.17083333,0.063768916
13,101.8019792,17.21395833,0.052773172
14,50.9775,16.78854167,0.052296049
15,106.3015625,16.446875,0.052707472
16,144.9566038,16.299375,0.048491688
17,113.8494444,16.58083333,0.061557359
18,108.5022222,16.96479167,0.056233476
19,61.23708333,16.776875,0.067485834
20,125.5322222,15.924375,0.057075057
21,118.16625,15.64020833,0.079782546
22,105.6565972,16.07916667,0.078994425
23,105.9038889,16.88916667,0.076491527
24,133.7397917,16.59625,0.088870088
25,97.12375,15.949375,0.056283832
26,9.212430556,15.535,0.07827621
27,124.2629861,15.03979167,0.091828942
28,88.39486111,14.99208333,0.07482554
29,78.06861111,14.689375,0.077072742
30,98.91570423,14.26456522,0.067281191
31,78.60458333,14.28604167,0.07507082
32,60.47958333,15.11166667,0.071890185
33,28.78013889,15.958125,0.075772733
34,89.43576389,16.27541667,0.080545124
35,139.6718056,16.89666667,0.07970769
36,134.7569444,17.96541667,0.065738644
37,130.4111111,18.53479167,0.074284836
38,150.0795833,19.209375,0.077049255
39,78.373125,18.670625,0.09206832
40,54.10722222,17.33645833,0.086208202
41,98.9773913,18.1547619,0.097403629
42,98.72715278,19.48833333,0.097927219
43,55.85840278,19.28875,0.088923938
44,131.6004167,17.84625,0.095864653
45,109.4180556,17.97125,0.108638964
46,104.748125,18.061875,0.100261611
47,103.760625,19.043125,0.105173888
48,114.7348611,20.4725,0.090478846
49,46.52465278,20.585,0.107331759
50,64.69946154,20.13520833,0.096995414
51,150.5567257,21.436875,0.107324256
52,114.7541406,22.50916667,0.097430452
53,154.7505357,23.100625,0.113808482
54,81.99862319,23.458125,0.092923335
55,214.6181579,21.7,0.077625975
56,26.52264286,20.34291667,0.119842927
57,111.5674138,20.40208333,0.129965903
58,180.4408738,21.28515152,0.112057819
59,126.3387288,21.61392857,0.108509644
60,67.42176,21.29104167,0.108735395
61,147.0737391,21.235,0.10560817
62,69.05571429,21.403125,0.114317103
63,89.62522124,20.423125,0.105515703
64,194.4487705,19.170625,0.137768835
65,162.9431944,18.945,0.13363966
66,148.6111111,19.080625,0.112461633
67,126.7185417,19.71791667,0.135810018
68,124.0313043,20.766875,0.115884806
69,149.7967188,22.09416667,0.123113448
70,179.0051095,22.51020833,0.12813063
71,143.0466667,21.66229167,0.134763634
72,153.6064748,21.675625,0.114139321
73,102.9518548,22.37970588,0.134535986
74,78.24624113,22.76020833,0.135472508
75,67.92763158,21.38854167,0.146577429
76,209.7948276,20.36791667,0.150569039
77,56.8840458,19.95208333,0.156824589
78,190.4120168,19.47145833,0.144701187
79,173.1559722,19.58625,0.140129104
80,187.4765278,19.63625,0.141518952
81,192.2767376,20.08354167,0.144350674
82,172.4890972,20.36791667,0.147455604
83,146.3678472,21.03895833,0.139510026
84,172.2597222,21.42666667,0.13883196
85,175.7295139,21.10333333,0.141415878
86,163.1252174,20.48625,0.163446072
87,147.9665972,20.74395833,0.160995014
88,184.0136885,21.56615385,0.173769765
89,161.4027083,21.98625,0.151304906
90,30.70484615,21.68478261,0.165454213
91,224.4123077,20.95571429,0.174008879
92,214.43136,20.93854167,0.159184828
93,217.7977679,21.221875,0.160056441
94,118.7505926,21.84645833,0.18324593
95,135.2866667,22.60645833,0.175017512
96,172.9338406,23.71270833,0.190429121
97,79.85047244,24.42243243,0.192035508
98,130.9553472,24.68625,0.181241526
99,160.0205556,24.80979167,0.168591133
100,137.2505556,24.74479167,0.17972851
101,189.2664336,25.086875,0.171858415
102,140.0776389,26.180625,0.177460514
103,115.2359028,26.12791667,0.184072531
104,229.3732639,25.29416667,0.203282099
105,217.7114583,24.805625,0.198312665
106,168.4439583,24.7925,0.171545661
107,198.5852778,24.984375,0.188306529
108,61.77697183,25.18416667,0.192911915
109,213.3053383,24.03958333,0.184949156
110,241.7955556,23.78229167,0.191348168
111,244.0944444,24.24583333,0.184335131
112,236.3169444,24.59395833,0.191948967
113,220.1436806,24.95270833,0.202850416
114,206.1154545,25.34468085,0.195592471
115,143.2546528,25.31833333,0.205429327
116,248.7529412,25.15625,0.219586545
117,250.28,25.78645833,0.207443543
118,240.3299248,26.06270833,0.211980357
119,192.1672727,26.16958333,0.202082027
120,223.1171667,26.4425,0.212426489
121,174.3216901,26.65375,0.215679249
122,114.2913194,26.86541667,0.216100029
123,208.0147222,27.18416667,0.212844493
124,61.49625,27.32708333,0.235883422
125,222.2146528,27.20833333,0.232257036
126,235.1271528,27.975,0.217156484
127,237.6859722,27.86,0.230309231
128,127.7308527,27.7869697,0.224068657
129,259.0652846,28.19458333,0.231372798
130,233.1512143,28.46354167,0.232834826
131,209.9603472,28.738125,0.230838653
132,130.4489583,28.586875,0.23399791
133,239.5579861,28.44,0.235686705
134,245.4459028,28.551875,0.211321523
135,233.3358333,28.693125,0.227596294
136,241.7593056,28.755625,0.219445093
137,239.9095833,28.929375,0.21969819
138,265.9965278,28.979375,0.220368806
139,246.7501389,29.59854167,0.231336462
140,257.6379167,29.88020833,0.235244714
141,255.1083333,30.02791667,0.237462539
142,220.5882857,29.74956522,0.238272115
143,268.6586806,29.765625,0.234914827
144,249.3569444,30.03395833,0.242620619
145,263.4570139,30.38020833,0.252445569
146,239.8430556,30.75,0.23452722
147,187.6536111,30.84208333,0.23158715
148,251.0879167,30.61395833,0.234033639
149,255.81125,31.04333333,0.251762669
150,179.1873611,31.04729167,0.247654059
151,213.5001389,31.07875,0.252014998
152,242.7484722,31.09875,0.235004186
153,224.4459722,31.409375,0.248888606
154,179.865625,31.72270833,0.251257304
155,191.1874306,31.59875,0.24579484
156,120.9221622,31.53933333,0.240764063
157,131.9304918,31.17807692,0.246988226
158,170.6163415,30.8,0.254721382
159,70.85117647,30.3273913,0.24771328
160,187.9471074,29.99,0.255727345
161,208.347561,30.1262963,0.252176591
162,142.8078689,29.84307692,0.244139608
163,91.09991667,29.32958333,0.241711708
164,224.267377,29.36615385,0.245359366
165,156.4953226,29.45428571,0.242335121
166,220.9948739,30.05347826,0.248209388
167,149.7066942,29.808,0.267668016
168,151.6637398,29.92111111,0.238309597
169,77.27983193,29.64434783,0.264256417
170,150.6090164,29.55192308,0.258680561
171,166.6267742,30.1575,0.247891261
172,156.6992742,30.75964286,0.252827307
173,172.8978862,31.29074074,0.253606648
174,201.8771774,31.59464286,0.269434604
175,218.7442742,31.85071429,0.256183681
176,213.3970161,31.99142857,0.255161136
177,236.1662097,31.78964286,0.257126807
178,208.8413821,31.62592593,0.239140041
179,190.6704032,31.53928571,0.234847161
180,220.2026829,31.8462963,0.250671614
181,207.3534677,31.93535714,0.255835821
182,238.0972358,32.25518519,0.252777172
183,134.7545045,32.35333333,0.236458736
184,217.0597458,32.475,0.269286677
185,109.7442105,31.83,0.238743239
186,146.6263559,31.45863636,0.248170986
187,136.0351667,31.20916667,0.252787224
188,212.3297541,31.89346154,0.248512294
189,176.2184298,31.6868,0.239063478
190,168.007563,31.4673913,0.249282544
191,202.4468548,31.59285714,0.253244335
192,194.7096721,31.68038462,0.236231415
193,215.0948361,31.84538462,0.242604949
194,235.6670968,32.60178571,0.235352186
195,200.3504545,32.69472222,0.222002745
196,165.1497222,32.481875,0.242857159
197,120.1175714,32.36181818,0.259953486
198,189.3165323,32.35464286,0.241712192
199,108.1063194,32.36895833,0.232286831
200,192.7210569,32.44666667,0.243207245
201,140.2556349,32.2,0.245337709
202,181.9290984,32.09346154,0.236582494
203,147.1693056,31.8225,0.242917565
204,61.53054264,31.41848485,0.231409306
205,108.5546341,30.91185185,0.24426852
206,58.09761538,30.56235294,0.251728317
207,145.1892683,30.64148148,0.23579956
208,122.0267742,30.47892857,0.233776676
209,148.5231298,30.43914286,0.249067151
210,209.123629,31.05892857,0.218035867
211,185.5250806,31.37964286,0.24307796
212,154.209,30.93541667,0.22332785
213,151.3192562,30.6504,0.217253617
214,198.1894215,31.4324,0.240037504
215,178.4749194,31.4825,0.227391941
216,175.1604839,31.42107143,0.233041268
217,206.9671545,31.5862963,0.211246663
218,93.14,31.1864,0.20434957
219,186.6622951,31.36,0.20614951
220,162.1369444,31.54458333,0.201049407
221,175.5163359,32.098,0.210683549
222,169.0034127,32.34466667,0.23149973
223,178.13,32.62769231,0.228012293
224,172.1166116,32.7272,0.214246791
225,119.2426126,32.47066667,0.204939478
226,118.0941026,31.83,0.206219657
227,67.18338983,31.1875,0.21825362
228,63.50321739,30.32842105,0.212403319
229,92.42016807,29.95045455,0.201307748
230,173.98125,30.29041667,0.207328555
231,176.6905882,30.36043478,0.189472567
232,223.8860833,30.81541667,0.209075657
233,275.5375207,31.6388,0.197727999
234,268.3248361,31.332,0.199495972
235,262.2192623,31.284,0.213491796
236,197.5881967,31.076,0.201386009
237,232.8387395,31.32545455,0.194979469
238,195.9325833,31.39458333,0.201372815
239,307.0383193,31.27521739,0.204296495
240,296.237686,31.4004,0.170789213
241,123.3768033,30.8712,0.189445381
242,209.6456557,30.9556,0.192417915
243,130.7898347,30.5325,0.196525409
244,226.3094262,30.55846154,0.196923352
245,192.7453279,30.34615385,0.167685302
246,97.50297521,29.7332,0.155891779
247,197.9247107,29.7232,0.187320724
248,258.2812397,30.1972,0.166595182
249,247.2965574,30.87730769,0.183254693
250,248.855124,31.2964,0.176189872
251,234.652314,31.5984,0.176668619
252,223.4295041,31.02541667,0.161852006
253,209.6041322,30.7268,0.174565362
254,175.5166364,30.555,0.166850185
255,151.6739167,30.29958333,0.155611363
256,197.0103306,30.0704,0.153763655
257,179.3835537,30.08041667,0.155826122
258,201.9768333,30.30083333,0.161217009
259,211.5086777,30.3848,0.162983818
260,153.376,30.23125,0.169747182
261,152.1736134,29.66695652,0.136961418
262,155.0375,29.35521739,0.157625106
263,146.4964167,29.00708333,0.154197528
264,174.6288333,28.8976,0.148379301
265,160.7535833,28.775,0.151921974
266,261.0629167,29.07166667,0.159085265
267,282.6821488,29.3056,0.13930545
268,249.4415,29.42333333,0.129340107
269,239.0616807,29.71363636,0.147923538
270,149.9853719,29.15791667,0.135838659
271,223.8698347,28.9884,0.152395544
272,209.4611765,29.01347826,0.135224408
273,195.367438,28.8904,0.132576135
274,206.04525,28.88541667,0.140823223
275,221.0016529,28.9512,0.119263222
276,202.4765289,29.2188,0.147672023
277,181.84875,28.71,0.114617473
278,109.8031783,28.38030303,0.124937883
279,93.81214286,28.233125,0.121055424
280,93.45185185,27.88333333,0.11630477
281,118.0023611,27.72666667,0.111949739
282,160.6608333,27.495,0.117613278
283,175.4744444,27.31416667,0.109052191
284,148.0670139,27.29458333,0.115950615
285,172.3000694,27.38479167,0.101511951
286,140.4488194,27.52875,0.10896477
287,139.3443056,27.451875,0.119432185
288,97.59152778,27.29666667,0.122691722
289,116.4702778,27.07666667,0.110507734
290,42.55944444,26.47083333,0.098984349
291,58.71951389,25.935,0.117603619
292,154.2274306,26.03791667,0.131791252
293,48.96645833,26.11291667,0.098075517
294,70.9898374,25.94882353,0.088636129
295,179.4001042,25.94987132,0.110379407
296,163.7492982,25.95091912,0.08614135
297,111.4080153,25.95196691,0.101212746
298,122.1239583,25.95301471,0.093899664
299,86.41729167,25.9540625,0.091764423
300,152.5282292,26.47416667,0.110628325
301,124.0303125,27.34416667,0.068177393
302,148.8654286,27.318125,0.079735683
303,158.708125,27.39416667,0.097352476
304,119.1475694,26.60854167,0.090106826
305,72.72958333,25.56354167,0.084980617
306,170.1593333,24.81487179,0.080279949
307,82.37965278,24.31791667,0.104082913
308,66.65493056,24.36520833,0.085389003
309,116.159375,24.29604167,0.075016452
310,89.33944,24.25827586,0.058389176
311,30.99,23.87279794,0.07316293
312,102.8794792,23.48732002,0.083336801
313,107.6777083,23.10184211,0.074189584
314,91.18166667,22.935,0.073669524
315,93.67958333,22.82083333,0.08833317
316,133.6576364,22.03979167,0.077526216
317,54.39215278,21.13729167,0.054681857
318,28.76069444,20.69979167,0.081045649
319,23.37534722,20.134375,0.062469041
320,33.13,19.19166667,0.067235434
321,108.20625,18.86645833,0.067662336
322,108.299375,18.74895833,0.039894956
323,118.2285827,18.46516129,0.053498871
324,130.4938542,18.56558313,0.052750715
325,132.7590625,18.66600496,0.053385993
326,132.3514583,18.7664268,0.077042204
327,136.9170833,18.86684864,0.07236443
328,142.7729167,18.96727047,0.058160769
329,156.086789,19.06769231,0.062505568
330,146.1880556,18.54333333,0.051775939
331,152.1959028,19.07020833,0.06132794
332,150.1492361,18.80520833,0.054437972
333,148.0124306,18.87708333,0.064696641
334,103.3284028,19.13708333,0.063546974
335,147.6765972,19.07166667,0.056645486
336,111.1191667,18.33222222,0.072496184
337,118.1103817,17.70295455,0.053449062
338,175.5531944,17.3475,0.04519257
339,170.9194444,17.20625,0.037622933
340,140.8265278,17.13083333,0.045825444
341,135.4148611,17.10854167,0.063006363
342,165.5300694,17.73229167,0.056561723
343,161.2149306,18.32,0.057625299
344,80.12416667,18.86395833,0.051444583
345,67.64388889,17.85604167,0.058216134
346,54.68791667,18.01979167,0.050947734
347,174.0136111,18.34395833,0.049968518
348,176.5850694,18.298125,0.059190492
349,162.6559722,18.288125,0.047205699
350,85.23284722,18.918125,0.047682026
351,170.9142222,18.93512821,0.052290026
352,162.2866667,18.96250296,0.046234421
353,117.2439583,18.98987771,0.034559921
354,121.2465625,19.01725247,0.066503881
355,24.853125,19.04462722,0.032104196
356,115.8548958,19.07200197,0.049352134
357,50.02927083,19.09937673,0.056405531
358,111.4698958,19.12675148,0.041599683
359,102.9792708,19.15412623,0.053193465
360,128.9273958,19.18150099,0.052850583
361,98.25604167,19.20887574,0.05739294
362,83.17125,19.23625049,0.050807349
363,72.399375,19.26362525,0.038637951
364,189.665,19.291,0.052397716
