Date,V1
2019-04-24,1.07849462365591
2019-04-25,1.13152173913043
2019-04-26,1.13191489361702
2019-04-27,1.103125
2019-04-28,1.08421052631579
2019-04-29,1.121875
2019-04-30,1.09021739130435
2019-05-01,1.07978723404255
2019-05-02,1.07263157894737
2019-05-03,1.10421052631579
2019-05-04,1.09895833333333
2019-05-05,1.05425531914894
2019-05-06,1.02604166666667
2019-05-07,1.00744680851064
2019-05-08,0.973958333333333
2019-05-09,1.11194029850746
2019-05-10,1.80833333333333
2019-05-11,1.79255319148936
2019-05-12,1.7936170212766
2019-05-13,1.78333333333333
2019-05-14,1.76071428571429
2019-05-15,1.70714285714286
2019-05-16,1.73473684210526
2019-05-17,1.73894736842105
2019-05-18,1.72826086956522
2019-05-19,1.72446808510638
2019-05-20,1.71354166666667
2019-05-21,1.72446808510638
2019-05-22,1.71875
2019-05-23,1.67472527472527
2019-05-24,1.69807692307692
2019-05-25,NA
2019-05-26,1.60666666666667
2019-05-27,1.63645833333333
2019-05-28,1.63958333333333
2019-05-29,1.6625
2019-05-30,1.63297872340426
2019-05-31,1.62021276595745
2019-06-01,1.584375
2019-06-02,1.56770833333333
2019-06-03,1.575
2019-06-04,1.49574468085106
2019-06-05,1.52934782608696
2019-06-06,6.5
2019-06-07,11.4673684210526
2019-06-08,11.425
2019-06-09,NA
2019-06-10,11.3916666666667
2019-06-11,11.4
2019-06-12,11.4291666666667
2019-06-13,11.38
2019-06-14,11.3440860215054
2019-06-15,11.3302083333333
2019-06-16,11.313829787234
2019-06-17,11.3315789473684
2019-06-18,11.2815217391304
2019-06-19,11.2692307692308
2019-06-20,11.1837209302326
2019-06-21,11.1739583333333
2019-06-22,11.1691489361702
2019-06-23,11.1364583333333
2019-06-24,11.1086021505376
2019-06-25,11.0753846153846
2019-06-26,10.9959183673469
2019-06-27,10.9979166666667
2019-06-28,NA
2019-06-29,NA
2019-06-30,10.893023255814
2019-07-01,10.9109375
2019-07-02,10.8694736842105
2019-07-03,8.99594594594595
2019-07-04,2.22150537634409
2019-07-05,2.18210526315789
2019-07-06,2.140625
2019-07-07,2.11684210526316
2019-07-08,2.1304347826087
2019-07-09,2.18297872340426
2019-07-10,2.19230769230769
2019-07-11,2.0910447761194
2019-07-12,NA
2019-07-13,NA
2019-07-14,NA
2019-07-15,NA
2019-07-16,NA
2019-07-17,NA
2019-07-18,NA
2019-07-19,NA
2019-07-20,NA
2019-07-21,NA
2019-07-22,NA
2019-07-23,NA
2019-07-24,NA
2019-07-25,NA
2019-07-26,NA
2019-07-27,NA
2019-07-28,NA
2019-07-29,NA
2019-07-30,NA
2019-07-31,NA
2019-08-01,NA
2019-08-02,NA
2019-08-03,NA
2019-08-04,NA
2019-08-05,NA
2019-08-06,NA
2019-08-07,NA
2019-08-08,NA
2019-08-09,NA
2019-08-10,NA
2019-08-11,NA
2019-08-12,NA
2019-08-13,NA
2019-08-14,1.37777777777778
2019-08-15,1.49784946236559
2019-08-16,1.5531914893617
2019-08-17,1.68510638297872
2019-08-18,1.87916666666667
2019-08-19,2.12291666666667
2019-08-20,2.39565217391304
2019-08-21,2.55531914893617
2019-08-22,2.71808510638298
2019-08-23,2.81789473684211
2019-08-24,2.89157894736842
2019-08-25,2.95208333333333
2019-08-26,3.02127659574468
2019-08-27,3.14375
2019-08-28,3.14470588235294
2019-08-29,3.12315789473684
2019-08-30,3.16774193548387
2019-08-31,3.196875
2019-09-01,3.31789473684211
2019-09-02,3.41458333333333
2019-09-03,3.52446808510638
2019-09-04,3.63033707865169
2019-09-05,3.7304347826087
2019-09-06,NA
2019-09-07,NA
2019-09-08,NA
2019-09-09,3.99333333333333
2019-09-10,4.015625
2019-09-11,4.040625
2019-09-12,3.49041095890411
2019-09-13,1.57446808510638
2019-09-14,1.59684210526316
2019-09-15,1.66979166666667
2019-09-16,1.73125
2019-09-17,1.80744680851064
2019-09-18,1.86063829787234
2019-09-19,1.88
2019-09-20,1.92916666666667
2019-09-21,1.971875
2019-09-22,1.99795918367347
2019-09-23,2.01891891891892
2019-09-24,2.05326086956522
2019-09-25,2.01276595744681
2019-09-26,1.92978723404255
2019-09-27,2.0010989010989
2019-09-28,2.0453125
2019-09-29,2.05
2019-09-30,2.09148936170213
2019-10-01,2.1375
2019-10-02,2.165625
2019-10-03,2.20947368421053
2019-10-04,2.24166666666667
2019-10-05,2.29270833333333
2019-10-06,2.31692307692308
2019-10-07,2.39166666666667
2019-10-08,2.49571428571429
2019-10-09,2.74777777777778
2019-10-10,2.83263157894737
2019-10-11,2.89583333333333
2019-10-12,2.93936170212766
2019-10-13,2.98404255319149
2019-10-14,2.9968085106383
2019-10-15,3.00967741935484
2019-10-16,3.05263157894737
2019-10-17,3.07340425531915
2019-10-18,3.1063829787234
2019-10-19,3.17340425531915
2019-10-20,3.2021052631579
2019-10-21,3.25744680851064
2019-10-22,3.29393939393939
2019-10-23,NA
2019-10-24,NA
2019-10-25,NA
2019-10-26,NA
2019-10-27,NA
2019-10-28,NA
2019-10-29,NA
2019-10-30,NA
2019-10-31,NA
2019-11-01,NA
2019-11-02,NA
2019-11-03,3.74769230769231
2019-11-04,3.78548387096774
2019-11-05,NA
2019-11-06,NA
2019-11-07,NA
2019-11-08,NA
2019-11-09,NA
2019-11-10,NA
2019-11-11,NA
2019-11-12,NA
2019-11-13,NA
2019-11-14,NA
2019-11-15,NA
2019-11-16,NA
2019-11-17,NA
