Date,V1
2019-01-01,135.31
2019-01-02,101.788613861386
2019-01-03,97.2346875
2019-01-04,74.4897916666667
2019-01-05,149.5715625
2019-01-06,145.1340625
2019-01-07,127.103125
2019-01-08,121.00125
2019-01-09,129.742083333333
2019-01-10,128.767916666667
2019-01-11,104.658229166667
2019-01-12,89.6283333333333
2019-01-13,96.7365625
2019-01-14,101.801979166667
2019-01-15,50.9775
2019-01-16,106.3015625
2019-01-17,144.956603773585
2019-01-18,113.849444444444
2019-01-19,108.502222222222
2019-01-20,61.2370833333333
2019-01-21,125.532222222222
2019-01-22,118.16625
2019-01-23,105.656597222222
2019-01-24,105.903888888889
2019-01-25,133.739791666667
2019-01-26,97.12375
2019-01-27,9.21243055555555
2019-01-28,124.262986111111
2019-01-29,88.3948611111111
2019-01-30,78.0686111111111
2019-01-31,98.9157042253521
2019-02-01,78.6045833333333
2019-02-02,60.4795833333333
2019-02-03,28.7801388888889
2019-02-04,89.4357638888889
2019-02-05,139.671805555556
2019-02-06,134.756944444444
2019-02-07,130.411111111111
2019-02-08,150.079583333333
2019-02-09,78.373125
2019-02-10,54.1072222222222
2019-02-11,98.9773913043478
2019-02-12,98.7271527777778
2019-02-13,55.8584027777778
2019-02-14,131.600416666667
2019-02-15,109.418055555556
2019-02-16,104.748125
2019-02-17,103.760625
2019-02-18,114.734861111111
2019-02-19,46.5246527777778
2019-02-20,64.6994615384615
2019-02-21,150.556725663717
2019-02-22,114.754140625
2019-02-23,154.750535714286
2019-02-24,81.9986231884058
2019-02-25,214.618157894737
2019-02-26,26.5226428571429
2019-02-27,111.567413793103
2019-02-28,180.440873786408
2019-03-01,126.338728813559
2019-03-02,67.42176
2019-03-03,147.073739130435
2019-03-04,69.0557142857143
2019-03-05,89.6252212389381
2019-03-06,194.448770491803
2019-03-07,162.943194444444
2019-03-08,148.611111111111
2019-03-09,126.718541666667
2019-03-10,124.031304347826
2019-03-11,149.79671875
2019-03-12,179.005109489051
2019-03-13,143.046666666667
2019-03-14,153.606474820144
2019-03-15,102.95185483871
2019-03-16,78.2462411347518
2019-03-17,67.9276315789474
2019-03-18,209.794827586207
2019-03-19,56.8840458015267
2019-03-20,190.412016806723
2019-03-21,173.155972222222
2019-03-22,187.476527777778
2019-03-23,192.276737588652
2019-03-24,172.489097222222
2019-03-25,146.367847222222
2019-03-26,172.259722222222
2019-03-27,175.729513888889
2019-03-28,163.125217391304
2019-03-29,147.966597222222
2019-03-30,184.01368852459
2019-03-31,161.402708333333
2019-04-01,30.7048461538462
2019-04-02,224.412307692308
2019-04-03,214.43136
2019-04-04,217.797767857143
2019-04-05,118.750592592593
2019-04-06,135.286666666667
2019-04-07,172.93384057971
2019-04-08,79.8504724409449
2019-04-09,130.955347222222
2019-04-10,160.020555555556
2019-04-11,137.250555555556
2019-04-12,189.266433566434
2019-04-13,140.077638888889
2019-04-14,115.235902777778
2019-04-15,229.373263888889
2019-04-16,217.711458333333
2019-04-17,168.443958333333
2019-04-18,198.585277777778
2019-04-19,61.7769718309859
2019-04-20,213.305338345865
2019-04-21,241.795555555556
2019-04-22,244.094444444444
2019-04-23,236.316944444444
2019-04-24,220.143680555556
2019-04-25,206.115454545455
2019-04-26,143.254652777778
2019-04-27,248.752941176471
2019-04-28,250.28
2019-04-29,240.32992481203
2019-04-30,192.167272727273
2019-05-01,223.117166666667
2019-05-02,174.321690140845
2019-05-03,114.291319444444
2019-05-04,208.014722222222
2019-05-05,61.49625
2019-05-06,222.214652777778
2019-05-07,235.127152777778
2019-05-08,237.685972222222
2019-05-09,127.730852713178
2019-05-10,259.065284552846
2019-05-11,233.151214285714
2019-05-12,209.960347222222
2019-05-13,130.448958333333
2019-05-14,239.557986111111
2019-05-15,245.445902777778
2019-05-16,233.335833333333
2019-05-17,241.759305555556
2019-05-18,239.909583333333
2019-05-19,265.996527777778
2019-05-20,246.750138888889
2019-05-21,257.637916666667
2019-05-22,255.108333333333
2019-05-23,220.588285714286
2019-05-24,268.658680555556
2019-05-25,249.356944444444
2019-05-26,263.457013888889
2019-05-27,239.843055555556
2019-05-28,187.653611111111
2019-05-29,251.087916666667
2019-05-30,255.81125
2019-05-31,179.187361111111
2019-06-01,213.500138888889
2019-06-02,242.748472222222
2019-06-03,224.445972222222
2019-06-04,179.865625
2019-06-05,191.187430555556
2019-06-06,120.922162162162
2019-06-07,131.930491803279
2019-06-08,170.616341463415
2019-06-09,70.8511764705882
2019-06-10,187.947107438017
2019-06-11,208.34756097561
2019-06-12,142.807868852459
2019-06-13,91.0999166666667
2019-06-14,224.26737704918
2019-06-15,156.495322580645
2019-06-16,220.99487394958
2019-06-17,149.706694214876
2019-06-18,151.663739837398
2019-06-19,77.2798319327731
2019-06-20,150.609016393443
2019-06-21,166.626774193548
2019-06-22,156.699274193548
2019-06-23,172.897886178862
2019-06-24,201.877177419355
2019-06-25,218.744274193548
2019-06-26,213.397016129032
2019-06-27,236.166209677419
2019-06-28,208.841382113821
2019-06-29,190.670403225806
2019-06-30,220.202682926829
2019-07-01,207.353467741935
2019-07-02,238.097235772358
2019-07-03,134.754504504504
2019-07-04,217.059745762712
2019-07-05,109.744210526316
2019-07-06,146.626355932203
2019-07-07,136.035166666667
2019-07-08,212.329754098361
2019-07-09,176.218429752066
2019-07-10,168.00756302521
2019-07-11,202.44685483871
2019-07-12,194.709672131148
2019-07-13,215.094836065574
2019-07-14,235.667096774194
2019-07-15,200.350454545455
2019-07-16,165.149722222222
2019-07-17,120.117571428571
2019-07-18,189.316532258065
2019-07-19,108.106319444444
